group_number,condition_2_Lin_3_Lout,condition_1_Rbc_0_Rnobc,num_females,avg_age,avg_familiarity,avg_extraversion,avg_emotional_intelligence,num_robot_bcs,avg_psychological_safety,produced_more_than_100_bcs
217,2,1,1,16.66666667,1.333333333,4.333333333,5.344444444,35,6.142857143,0
212,2,1,3,17,0.333333333,5.333333333,5.6,28,5.428571429,0
210,2,1,2,16,3.333333333,4.666666667,5.677777778,35,6.571428571,1
209,2,0,1,16.33333333,3.5,5,5.722222222,0,5.952380952,0
208,2,0,3,16.66666667,1.833333333,3.666666667,5.166666667,0,6.047619048,0
207,2,0,1,16,2,2.333333333,4.955555556,0,5.571428571,0
203,2,0,2,17,1.166666667,4.666666667,5.233333333,0,5.619047619,1
199,2,1,0,16.33333333,0.333333333,0.666666667,5.211111111,30,6,0
213,2,1,3,16.66666667,0.333333333,4,5.444444444,29,6.571428571,1
197,2,0,2,16.33333333,1.166666667,5.333333333,6.033333333,0,6.095238095,1
195,2,1,0,16.66666667,0.333333333,3.333333333,5.511111111,NA,6.714285714,1
204,2,1,1,25,0.666666667,4,4.988888889,38,6.285714286,NA
203,2,1,2,25,0.333333333,3,4.622222222,46,6.666666667,NA
208,2,1,0,16.66666667,0.666666667,3.666666667,5.644444444,58,5.904761905,1
207,2,1,1,16,0.5,2,4.833333333,NA,6.142857143,NA
206,2,1,2,16.66666667,0,3.333333333,5.833333333,37,5.952380952,0
200,2,1,1,20.33333333,0,4.333333333,4.9,61,5.333333333,NA
199,2,1,1,34.66666667,0,2.666666667,4.477777778,31,5.904761905,NA
197,2,1,1,29,0,3.666666667,4.7,37,5.238095238,NA
219,2,1,3,16.66666667,2.5,2.666666667,5.466666667,30,6.666666667,1
217,2,1,2,17,2,2.666666667,4.944444444,10,5.904761905,0
209,2,1,0,17,0,5,5.616666667,3,6.285714286,NA
216,2,1,1,16.66666667,1.166666667,3.333333333,5.266666667,20,5.80952381,NA
215,2,1,0,18,0.333333333,3,3.955555556,23,4.380952381,0
112,2,1,3,25,0.166666667,4.666666667,5.8,NA,6.238095238,NA
114,2,1,2,26.66666667,0,3,5.288888889,NA,5.619047619,NA
122,2,1,2,21.66666667,0,3.666666667,6,46,6.666666667,NA
199,2,1,1,17,0.166666667,2.333333333,4.977777778,45,5.619047619,0
198,2,1,1,16.66666667,0,1,5.066666667,16,5.666666667,0
197,2,1,1,16.33333333,2.333333333,5.333333333,5.644444444,46,6.476190476,1
211,3,1,1,16.66666667,1,3.333333333,4.777777778,18,5.952380952,0
220,3,1,0,17.66666667,1.166666667,5,5.2,21,5.238095238,0
219,3,1,1,17.33333333,0,2.333333333,5.011111111,48,6.666666667,0
218,3,1,1,16.66666667,0.166666667,2.666666667,4.788888889,36,5.761904762,0
216,3,1,1,16.33333333,2.333333333,5.333333333,5.2,45,5.714285714,0
215,3,1,1,16.66666667,2.166666667,5.666666667,5.444444444,35,6.714285714,0
214,3,1,1,17.33333333,1.666666667,5.666666667,5.4,52,5.857142857,0
213,3,1,1,16.66666667,0.333333333,4.666666667,5.033333333,29,6.380952381,0
211,3,1,2,16.66666667,0,3.666666667,5.644444444,24,6.571428571,0
206,3,0,2,16.33333333,0.333333333,3,5.311111111,0,6.523809524,0
205,3,0,2,17,0.666666667,3,4.788888889,0,5.857142857,0
204,3,0,3,16.33333333,2.5,4.666666667,4.922222222,0,6.333333333,1
202,3,0,1,17,0.333333333,3.666666667,5.077777778,0,5.428571429,0
201,3,1,1,16.66666667,0,4,5.488888889,23,5.714285714,0
200,3,0,0,17,0.666666667,2,5.033333333,0,5.80952381,0
196,3,1,3,15.66666667,2.166666667,4.666666667,4.611111111,NA,5.857142857,0
202,3,1,2,20.33333333,0,2.333333333,5,18,5.476190476,NA
201,3,1,2,21,0,4.666666667,5.044444444,15,5.666666667,NA
205,3,1,2,20,0.333333333,3.333333333,5.044444444,22,5.952380952,NA
196,3,1,1,19.33333333,0,0.666666667,5.533333333,23,5.333333333,NA
195,3,1,2,19.33333333,0,3,5.122222222,32,5.571428571,NA
194,3,1,1,36.33333333,0,0.666666667,5.411111111,32,6.142857143,NA
218,3,1,2,16.66666667,1.5,4.333333333,5.622222222,19,6.19047619,0
210,3,1,3,18,1.833333333,5.333333333,5.411111111,43,6,1
113,3,1,3,23,0,3.333333333,4.755555556,NA,6,NA
121,3,1,0,28,0,5,5.566666667,28,6,NA
198,3,1,3,16.66666667,1.5,5.333333333,5.233333333,51,6.619047619,1
196,3,1,3,16.66666667,2,4.333333333,5.2,43,6.333333333,1
